country,mean_happiness,std_happiness,min_happiness,max_happiness,response_count,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
Afghanistan,3.525,0.5132850460139458,2.3,4.8,40,3.525,3.4200000000000004,6.459999999999999,5.3950000000000005,2.81,3.05,1.8350000000000002
Albania,5.6049999999999995,0.5751031122708257,3.8,6.4,40,5.6049999999999995,4.835,7.255,6.225,6.1049999999999995,3.25,2.6399999999999997
Algeria,5.295,0.5138841533623342,3.6,6.2,40,5.295,4.59,7.135,6.04,5.165,3.2350000000000003,2.675
Angola,5.0,0.535891301645667,3.4,6.2,40,5.0,4.220000000000001,6.9,5.77,5.525,3.145,2.25
Argentina,5.3100000000000005,0.5338779270822507,3.8,6.2,40,5.3100000000000005,3.9,7.385,6.3149999999999995,6.125,3.12,2.44
Armenia,5.575,0.5433750180643292,3.8,6.3,40,5.575,4.779999999999999,7.255,6.085,6.029999999999999,3.275,3.5200000000000005
Australia,6.56,0.6774007638553377,4.2,7.4,40,6.56,5.8549999999999995,7.625,6.654999999999999,6.935,3.96,6.459999999999999
Austria,6.65,0.6983497030086774,4.2,7.4,40,6.65,6.15,7.705,6.695,6.904999999999999,3.8549999999999995,6.275
Azerbaijan,5.555,0.5458233019238709,3.8,6.3,40,5.555,5.01,7.159999999999999,6.0649999999999995,5.175,3.255,2.565
Bahrain,6.335,0.6342975116877987,4.2,7.2,40,6.335,6.130000000000001,7.545,6.425,6.11,4.1,4.225
Bangladesh,5.3100000000000005,0.5143080988209506,3.8,6.2,40,5.3100000000000005,4.62,6.984999999999999,5.805,5.37,3.3649999999999998,2.375
Belarus,5.14,0.4395802193351849,3.8,5.8,40,5.14,4.675,7.05,6.0,3.7649999999999997,3.2649999999999997,2.35
Belgium,6.595000000000001,0.6789698078707185,4.2,7.4,40,6.595000000000001,6.08,7.665000000000001,6.609999999999999,6.859999999999999,3.8200000000000003,6.1899999999999995
Belize,5.83,0.6094133370583676,3.8,6.6,40,5.83,5.025,7.3,6.285,6.335,3.71,3.335
Benin,5.255,0.55050093737548,3.6,6.2,40,5.255,4.46,7.045,5.945,5.904999999999999,3.415,3.035
Bhutan,6.029999999999999,0.6243766121870308,4.0,6.8,40,6.029999999999999,5.1850000000000005,7.43,6.29,6.305,3.8850000000000002,6.615
Bolivia,5.555,0.5476991500580944,3.8,6.2,40,5.555,4.89,7.295,6.09,6.07,3.35,2.58
Bosnia and Herzegovina,5.41,0.5092981596124371,3.8,6.2,40,5.41,4.68,7.225,6.14,5.8549999999999995,3.2700000000000005,2.26
