persona_id,country,life_evaluation,gdp,social_support,health,freedom,generosity,corruption,overall_happiness_explicit,overall_happiness_calculated,overall_happiness,response_text
1,Afghanistan,6.2,5.5,8.0,7.2,4.5,3.0,2.0,6.2,5.033333333333333,6.2,"[6.2, 5.5, 8.0, 7.2, 4.5, 3.0, 2.0]"
2,Afghanistan,4.8,3.2,8.0,6.2,3.5,6.0,1.5,4.8,4.733333333333333,4.8,"[4.8, 3.2, 8.0, 6.2, 3.5, 6.0, 1.5]"
3,Afghanistan,5.8,4.2,7.6,6.8,4.5,3.0,1.5,5.8,4.6000000000000005,5.8,"[5.8, 4.2, 7.6, 6.8, 4.5, 3.0, 1.5]"
4,Afghanistan,5.2,3.0,7.5,6.0,4.0,6.0,2.0,5.2,4.75,5.2,"[5.2, 3.0, 7.5, 6.0, 4.0, 6.0, 2.0]"
5,Afghanistan,5.8,4.2,7.5,6.0,5.0,4.5,2.0,5.8,4.866666666666666,5.8,"[5.8, 4.2, 7.5, 6.0, 5.0, 4.5, 2.0]"
6,Afghanistan,5.5,4.0,8.0,7.0,6.0,3.0,2.0,5.5,5.0,5.5,"[5.5, 4.0, 8.0, 7.0, 6.0, 3.0, 2.0]"
7,Afghanistan,5.5,4.0,7.5,4.5,4.0,3.0,2.0,5.5,4.166666666666667,5.5,"[5.5, 4.0, 7.5, 4.5, 4.0, 3.0, 2.0]"
8,Afghanistan,6.4,7.2,6.8,7.6,6.5,4.0,2.0,6.4,5.683333333333334,6.4,"[6.4, 7.2, 6.8, 7.6, 6.5, 4.0, 2.0]"
9,Afghanistan,6.2,3.5,9.0,5.0,4.0,3.0,2.0,6.2,4.416666666666667,6.2,"[6.2, 3.5, 9.0, 5.0, 4.0, 3.0, 2.0]"
10,Afghanistan,4.8,3.5,6.5,6.0,5.0,2.0,1.5,4.8,4.083333333333333,4.8,"[4.8, 3.5, 6.5, 6.0, 5.0, 2.0, 1.5]"
11,Afghanistan,4.8,3.5,7.0,5.5,3.0,4.0,1.5,4.8,4.083333333333333,4.8,"[4.8, 3.5, 7.0, 5.5, 3.0, 4.0, 1.5]"
12,Afghanistan,5.5,4.0,7.5,6.0,3.0,4.0,2.0,5.5,4.416666666666667,5.5,"[5.5, 4.0, 7.5, 6.0, 3.0, 4.0, 2.0]"
13,Afghanistan,4.5,3.5,7.0,5.5,4.0,3.0,2.0,4.5,4.166666666666667,4.5,"[4.5, 3.5, 7.0, 5.5, 4.0, 3.0, 2.0]"
14,Afghanistan,5.8,4.2,7.0,6.3,4.5,5.5,2.0,5.8,4.916666666666667,5.8,"[5.8, 4.2, 7.0, 6.3, 4.5, 5.5, 2.0]"
15,Afghanistan,5.5,3.5,8.0,6.0,4.5,3.0,2.0,5.5,4.5,5.5,"[5.5, 3.5, 8.0, 6.0, 4.5, 3.0, 2.0]"
16,Afghanistan,4.8,3.2,7.0,5.6,3.5,6.5,1.5,4.8,4.55,4.8,"[4.8, 3.2, 7.0, 5.6, 3.5, 6.5, 1.5]"
17,Afghanistan,4.8,3.5,7.5,5.0,3.0,2.0,1.5,4.8,3.75,4.8,"[4.8, 3.5, 7.5, 5.0, 3.0, 2.0, 1.5]"
18,Afghanistan,4.5,4.0,7.0,5.5,3.5,4.0,2.0,4.5,4.333333333333333,4.5,"[4.5, 4.0, 7.0, 5.5, 3.5, 4.0, 2.0]"
19,Afghanistan,5.8,4.2,7.4,6.8,3.6,4.8,1.8,5.8,4.766666666666667,5.8,"[5.8, 4.2, 7.4, 6.8, 3.6, 4.8, 1.8]"
20,Afghanistan,3.0,2.0,6.0,5.0,3.0,1.0,2.0,3.0,3.1666666666666665,3.0,"[3.0, 2.0, 6.0, 5.0, 3.0, 1.0, 2.0]"
1,Albania,7.6,6.8,8.7,7.8,8.2,3.5,2.8,7.6,6.3,7.6,"[7.6, 6.8, 8.7, 7.8, 8.2, 3.5, 2.8]"
2,Albania,7.4,5.2,8.6,7.1,7.0,6.2,3.2,7.4,6.216666666666666,7.4,"[7.4, 5.2, 8.6, 7.1, 7.0, 6.2, 3.2]"
3,Albania,7.2,5.3,8.4,7.6,7.8,3.2,2.6,7.2,5.816666666666666,7.2,"[7.2, 5.3, 8.4, 7.6, 7.8, 3.2, 2.6]"
4,Albania,7.2,5.2,8.6,6.8,7.0,6.0,2.8,7.2,6.066666666666666,7.2,"[7.2, 5.2, 8.6, 6.8, 7.0, 6.0, 2.8]"
5,Albania,7.2,6.0,8.5,6.5,7.5,3.5,2.5,7.2,5.75,7.2,"[7.2, 6.0, 8.5, 6.5, 7.5, 3.5, 2.5]"
6,Albania,6.8,5.2,8.4,8.0,7.6,2.0,2.8,6.8,5.666666666666667,6.8,"[6.8, 5.2, 8.4, 8.0, 7.6, 2.0, 2.8]"
7,Albania,6.5,5.5,8.0,5.0,6.5,2.0,2.5,6.5,4.916666666666667,6.5,"[6.5, 5.5, 8.0, 5.0, 6.5, 2.0, 2.5]"
8,Albania,7.4,7.2,7.6,8.1,8.4,4.2,2.8,7.4,6.383333333333333,7.4,"[7.4, 7.2, 7.6, 8.1, 8.4, 4.2, 2.8]"
9,Albania,7.5,5.0,9.5,6.0,7.0,3.0,2.5,7.5,5.5,7.5,"[7.5, 5.0, 9.5, 6.0, 7.0, 3.0, 2.5]"
10,Albania,6.8,5.2,7.8,7.2,8.4,3.0,2.8,6.8,5.733333333333333,6.8,"[6.8, 5.2, 7.8, 7.2, 8.4, 3.0, 2.8]"
11,Albania,6.2,5.0,7.5,6.0,6.5,4.0,2.5,6.2,5.25,6.2,"[6.2, 5.0, 7.5, 6.0, 6.5, 4.0, 2.5]"
12,Albania,7.2,6.0,8.5,7.0,7.0,3.0,2.5,7.2,5.666666666666667,7.2,"[7.2, 6.0, 8.5, 7.0, 7.0, 3.0, 2.5]"
