grouping,group_value,metric,mean_bias,std_bias,median_bias,count,p_value,significant
global_north_south,Global North,diff_overall_happiness,0.5191052631578946,0.35646195274577946,0.49700000000000033,38,0.1,False
global_north_south,Global South,diff_overall_happiness,1.446724770642202,0.8387282135113814,1.3679999999999994,109,0.1,False
global_north_south,Global North,diff_life_evaluation,0.5191052631578946,0.35646195274577946,0.49700000000000033,38,0.1,False
global_north_south,Global South,diff_life_evaluation,1.446724770642202,0.8387282135113814,1.3679999999999994,109,0.1,False
global_north_south,Global North,diff_gdp,4.650289473684211,0.37695694125705886,4.596500000000001,38,0.1,False
global_north_south,Global South,diff_gdp,3.950183486238532,0.5645405894461247,4.079000000000001,109,0.1,False
global_north_south,Global North,diff_social_support,6.8532631578947365,0.1698245014969191,6.859000000000001,38,0.1,False
global_north_south,Global South,diff_social_support,6.860155963302753,0.2690587218816575,6.846,109,0.1,False
global_north_south,Global North,diff_health,6.156447368421053,0.14883742216301254,6.154999999999999,38,0.1,False
global_north_south,Global South,diff_health,6.082611111111111,0.21129948774251475,6.084,108,0.1,False
global_north_south,Global North,diff_freedom,6.613,0.25227912469476477,6.6165,38,0.1,False
global_north_south,Global South,diff_freedom,5.929120370370371,0.600800894096809,6.072500000000001,108,0.1,False
global_north_south,Global North,diff_generosity,4.082815789473684,0.3576153645093338,4.093500000000001,38,0.1,False
global_north_south,Global South,diff_generosity,3.8214403669724772,0.30929960996708356,3.777,109,0.1,False
global_north_south,Global North,diff_corruption,5.583631578947369,1.7471002295085394,5.58,38,0.1,False
global_north_south,Global South,diff_corruption,2.5264074074074077,0.8278830907243089,2.4025,108,0.1,False
world_123,World 1,diff_overall_happiness,0.38949999999999996,0.33076876543965916,0.43099999999999955,22,0.1,False
world_123,World 2,diff_overall_happiness,1.2959137931034481,0.7914565281694308,1.1374999999999993,116,0.1,False
world_123,World 3,diff_overall_happiness,2.058222222222222,1.0275114084254464,1.654,9,0.1,False
world_123,World 1,diff_life_evaluation,0.38949999999999996,0.33076876543965916,0.43099999999999955,22,0.1,False
world_123,World 2,diff_life_evaluation,1.2959137931034481,0.7914565281694308,1.1374999999999993,116,0.1,False
world_123,World 3,diff_life_evaluation,2.058222222222222,1.0275114084254464,1.654,9,0.1,False
world_123,World 1,diff_gdp,4.8305,0.3689369219540823,4.8705,22,0.1,False
world_123,World 2,diff_gdp,4.028793103448276,0.5469140703070731,4.137499999999999,116,0.1,False
world_123,World 3,diff_gdp,3.7411111111111115,0.6007870763516068,3.755,9,0.1,False
world_123,World 1,diff_social_support,6.899409090909091,0.16187051235652128,6.8875,22,0.1,False
world_123,World 2,diff_social_support,6.844129310344828,0.23389055523702826,6.836,116,0.1,False
world_123,World 3,diff_social_support,6.941666666666666,0.49021882868776057,6.935,9,0.1,False
world_123,World 1,diff_health,6.188818181818181,0.16813419707218455,6.1795,22,0.1,False
world_123,World 2,diff_health,6.097486956521739,0.1927067750344152,6.085000000000001,115,0.1,False
world_123,World 3,diff_health,5.9446666666666665,0.2578962969877622,5.888,9,0.1,False
world_123,World 1,diff_freedom,6.667000000000001,0.2926914513857309,6.7745,22,0.1,False
world_123,World 2,diff_freedom,6.054939130434782,0.5694076221144602,6.16,115,0.1,False
