persona_id,country,life_evaluation,gdp,social_support,health,freedom,generosity,corruption,overall_happiness_explicit,overall_happiness_calculated,overall_happiness,response_text
1,Afghanistan,8.0,7.0,9.0,8.0,9.0,6.0,3.0,8.0,7.0,8.0,"[8, 7, 9, 8, 9, 6, 3]"
2,Afghanistan,7.0,5.0,9.0,7.0,6.0,8.0,3.0,7.0,6.333333333333333,7.0,"[7, 5, 9, 7, 6, 8, 3]"
3,Afghanistan,6.0,5.0,9.0,7.0,8.0,3.0,2.0,6.0,5.666666666666667,6.0,"[6, 5, 9, 7, 8, 3, 2]"
4,Afghanistan,7.0,5.0,9.0,7.0,8.0,6.0,3.0,7.0,6.333333333333333,7.0,"[7, 5, 9, 7, 8, 6, 3]"
5,Afghanistan,6.0,5.0,7.0,6.0,7.0,4.0,3.0,6.0,5.333333333333333,6.0,"[6, 5, 7, 6, 7, 4, 3]"
6,Afghanistan,6.0,5.0,8.0,7.0,8.0,3.0,2.0,6.0,5.5,6.0,"[6, 5, 8, 7, 8, 3, 2]"
7,Afghanistan,6.0,5.0,8.0,6.0,7.0,3.0,2.0,6.0,5.166666666666667,6.0,"[6, 5, 8, 6, 7, 3, 2]"
8,Afghanistan,7.0,8.0,6.0,8.0,9.0,5.0,4.0,7.0,6.666666666666667,7.0,"[7, 8, 6, 8, 9, 5, 4]"
9,Afghanistan,7.0,5.0,9.0,6.0,8.0,6.0,3.0,7.0,6.166666666666667,7.0,"[7, 5, 9, 6, 8, 6, 3]"
10,Afghanistan,7.0,5.0,8.0,7.0,9.0,6.0,3.0,7.0,6.333333333333333,7.0,"[7, 5, 8, 7, 9, 6, 3]"
11,Afghanistan,6.0,5.0,7.0,6.0,5.0,4.0,3.0,6.0,5.0,6.0,"[6, 5, 7, 6, 5, 4, 3]"
12,Afghanistan,6.0,5.0,8.0,7.0,6.0,3.0,4.0,6.0,5.5,6.0,"[6, 5, 8, 7, 6, 3, 4]"
13,Afghanistan,6.0,5.0,8.0,7.0,6.0,4.0,3.0,6.0,5.5,6.0,"[6, 5, 8, 7, 6, 4, 3]"
14,Afghanistan,7.0,5.0,8.0,7.0,6.0,4.0,3.0,7.0,5.5,7.0,"[7, 5, 8, 7, 6, 4, 3]"
15,Afghanistan,6.0,4.0,8.0,5.0,6.0,4.0,2.0,6.0,4.833333333333333,6.0,"[6, 4, 8, 5, 6, 4, 2]"
16,Afghanistan,6.0,4.0,8.0,7.0,6.0,7.0,3.0,6.0,5.833333333333333,6.0,"[6, 4, 8, 7, 6, 7, 3]"
17,Afghanistan,5.0,4.0,7.0,6.0,3.0,2.0,6.0,5.0,4.666666666666667,5.0,"[5, 4, 7, 6, 3, 2, 6]"
18,Afghanistan,6.0,5.0,7.0,6.0,5.0,4.0,3.0,6.0,5.0,6.0,"[6, 5, 7, 6, 5, 4, 3]"
19,Afghanistan,8.0,7.0,9.0,8.0,9.0,6.0,3.0,8.0,7.0,8.0,"[8, 7, 9, 8, 9, 6, 3]"
20,Afghanistan,3.0,2.0,4.0,5.0,2.0,1.0,2.0,3.0,2.6666666666666665,3.0,"[3, 2, 4, 5, 2, 1, 2]"
1,Albania,8.0,7.0,9.0,8.0,9.0,6.0,4.0,8.0,7.166666666666667,8.0,"[8, 7, 9, 8, 9, 6, 4]"
2,Albania,8.0,6.0,9.0,7.0,8.0,7.0,4.0,8.0,6.833333333333333,8.0,"[8, 6, 9, 7, 8, 7, 4]"
3,Albania,7.0,5.0,9.0,8.0,7.0,4.0,3.0,7.0,6.0,7.0,"[7, 5, 9, 8, 7, 4, 3]"
4,Albania,8.0,6.0,9.0,7.0,8.0,6.0,5.0,8.0,6.833333333333333,8.0,"[8, 6, 9, 7, 8, 6, 5]"
5,Albania,7.0,6.0,9.0,7.0,8.0,5.0,3.0,7.0,6.333333333333333,7.0,"[7, 6, 9, 7, 8, 5, 3]"
6,Albania,7.0,5.0,9.0,8.0,9.0,3.0,4.0,7.0,6.333333333333333,7.0,"[7, 5, 9, 8, 9, 3, 4]"
7,Albania,6.0,5.0,8.0,6.0,7.0,4.0,3.0,6.0,5.5,6.0,"[6, 5, 8, 6, 7, 4, 3]"
8,Albania,7.0,8.0,6.0,8.0,9.0,5.0,3.0,7.0,6.5,7.0,"[7, 8, 6, 8, 9, 5, 3]"
9,Albania,8.0,6.0,10.0,7.0,9.0,6.0,3.0,8.0,6.833333333333333,8.0,"[8, 6, 10, 7, 9, 6, 3]"
10,Albania,7.0,5.0,8.0,7.0,9.0,6.0,3.0,7.0,6.333333333333333,7.0,"[7, 5, 8, 7, 9, 6, 3]"
11,Albania,6.0,5.0,7.0,6.0,5.0,4.0,3.0,6.0,5.0,6.0,"[6, 5, 7, 6, 5, 4, 3]"
12,Albania,6.0,5.0,8.0,7.0,6.0,4.0,3.0,6.0,5.5,6.0,"[6, 5, 8, 7, 6, 4, 3]"
13,Albania,7.0,6.0,8.0,7.0,8.0,5.0,4.0,7.0,6.333333333333333,7.0,"[7, 6, 8, 7, 8, 5, 4]"
14,Albania,7.0,5.0,8.0,7.0,8.0,4.0,3.0,7.0,5.833333333333333,7.0,"[7, 5, 8, 7, 8, 4, 3]"
15,Albania,7.0,5.0,9.0,6.0,8.0,4.0,3.0,7.0,5.833333333333333,7.0,"[7, 5, 9, 6, 8, 4, 3]"
16,Albania,6.0,5.0,8.0,7.0,6.0,7.0,3.0,6.0,6.0,6.0,"[6, 5, 8, 7, 6, 7, 3]"
17,Albania,5.0,4.0,7.0,6.0,3.0,2.0,4.0,5.0,4.333333333333333,5.0,"[5, 4, 7, 6, 3, 2, 4]"
18,Albania,6.0,5.0,7.0,6.0,4.0,3.0,2.0,6.0,4.5,6.0,"[6, 5, 7, 6, 4, 3, 2]"
19,Albania,8.0,7.0,9.0,8.0,9.0,6.0,4.0,8.0,7.166666666666667,8.0,"[8, 7, 9, 8, 9, 6, 4]"
20,Albania,3.0,2.0,5.0,6.0,4.0,0.0,2.0,3.0,3.1666666666666665,3.0,"[3, 2, 5, 6, 4, 0, 2]"
1,Algeria,8.0,7.0,9.0,8.0,9.0,6.0,3.0,8.0,7.0,8.0,"[8, 7, 9, 8, 9, 6, 3]"
2,Algeria,7.0,6.0,9.0,8.0,8.0,7.0,3.0,7.0,6.833333333333333,7.0,"[7, 6, 9, 8, 8, 7, 3]"
3,Algeria,7.0,5.0,9.0,8.0,6.0,4.0,3.0,7.0,5.833333333333333,7.0,"[7, 5, 9, 8, 6, 4, 3]"
4,Algeria,7.0,5.0,9.0,8.0,8.0,6.0,3.0,7.0,6.5,7.0,"[7, 5, 9, 8, 8, 6, 3]"
5,Algeria,7.0,5.0,8.0,6.0,7.0,4.0,3.0,7.0,5.5,7.0,"[7, 5, 8, 6, 7, 4, 3]"
6,Algeria,6.0,5.0,8.0,7.0,8.0,3.0,4.0,6.0,5.833333333333333,6.0,"[6, 5, 8, 7, 8, 3, 4]"
7,Algeria,6.0,5.0,8.0,6.0,7.0,3.0,4.0,6.0,5.5,6.0,"[6, 5, 8, 6, 7, 3, 4]"
8,Algeria,7.0,8.0,7.0,8.0,9.0,6.0,3.0,7.0,6.833333333333333,7.0,"[7, 8, 7, 8, 9, 6, 3]"
9,Algeria,8.0,6.0,10.0,7.0,8.0,6.0,4.0,8.0,6.833333333333333,8.0,"[8, 6, 10, 7, 8, 6, 4]"
10,Algeria,7.0,5.0,8.0,7.0,9.0,6.0,3.0,7.0,6.333333333333333,7.0,"[7, 5, 8, 7, 9, 6, 3]"
11,Algeria,6.0,5.0,7.0,6.0,4.0,3.0,2.0,6.0,4.5,6.0,"[6, 5, 7, 6, 4, 3, 2]"
12,Algeria,7.0,5.0,9.0,7.0,6.0,3.0,4.0,7.0,5.666666666666667,7.0,"[7, 5, 9, 7, 6, 3, 4]"
13,Algeria,7.0,5.0,8.0,6.0,7.0,4.0,3.0,7.0,5.5,7.0,"[7, 5, 8, 6, 7, 4, 3]"
14,Algeria,7.0,5.0,8.0,7.0,6.0,3.0,4.0,7.0,5.5,7.0,"[7, 5, 8, 7, 6, 3, 4]"
15,Algeria,7.0,5.0,9.0,6.0,8.0,6.0,3.0,7.0,6.166666666666667,7.0,"[7, 5, 9, 6, 8, 6, 3]"
16,Algeria,6.0,5.0,8.0,7.0,6.0,7.0,3.0,6.0,6.0,6.0,"[6, 5, 8, 7, 6, 7, 3]"
17,Algeria,5.0,4.0,7.0,6.0,4.0,2.0,3.0,5.0,4.333333333333333,5.0,"[5, 4, 7, 6, 4, 2, 3]"
