persona_id,country,life_evaluation,gdp,social_support,health,freedom,generosity,corruption,overall_happiness,response_text
1,Afghanistan,7.0,7.0,6.0,9.0,8.0,8.0,4.0,7.0,"[7, 6, 9, 8, 8, 4]"
2,Afghanistan,7.166666666666667,7.0,6.0,9.0,8.0,9.0,4.0,7.166666666666667,"[7, 6, 9, 8, 9, 4]"
3,Afghanistan,6.0,5.0,8.0,7.0,4.0,3.0,4.0,6.0,"[6, 5, 8, 7, 4, 3, 4]"
4,Afghanistan,6.833333333333333,7.0,6.0,9.0,8.0,8.0,3.0,6.833333333333333,"[7, 6, 9, 8, 8, 3]"
5,Afghanistan,6.0,5.0,8.0,7.0,4.0,3.0,2.0,6.0,"[6, 5, 8, 7, 4, 3, 2]"
6,Afghanistan,6.0,5.0,8.0,7.0,4.0,6.0,3.0,6.0,"[6, 5, 8, 7, 4, 6, 3]"
7,Afghanistan,5.166666666666667,6.0,5.0,7.0,6.0,4.0,3.0,5.166666666666667,"[6, 5, 7, 6, 4, 3]"
8,Afghanistan,6.0,6.0,7.0,6.0,8.0,5.0,4.0,6.0,"[6, 7, 6, 8, 5, 4]"
9,Afghanistan,6.5,7.0,6.0,10.0,5.0,8.0,3.0,6.5,"[7, 6, 10, 5, 8, 3]"
10,Afghanistan,6.0,6.0,5.0,7.0,8.0,4.0,6.0,6.0,"[6, 5, 7, 8, 4, 6]"
11,Afghanistan,6.0,5.0,6.0,7.0,4.0,3.0,2.0,6.0,"[6, 5, 6, 7, 4, 3, 2]"
12,Afghanistan,5.666666666666667,6.0,5.0,9.0,7.0,3.0,4.0,5.666666666666667,"[6, 5, 9, 7, 3, 4]"
13,Afghanistan,6.0,5.0,8.0,7.0,6.0,3.0,4.0,6.0,"[6, 5, 8, 7, 6, 3, 4]"
14,Afghanistan,6.0,6.0,5.0,7.0,8.0,6.0,4.0,6.0,"[6, 5, 7, 8, 6, 4]"
15,Afghanistan,6.0,5.0,8.0,7.0,6.0,3.0,2.0,6.0,"[6, 5, 8, 7, 6, 3, 2]"
16,Afghanistan,6.333333333333333,6.0,5.0,8.0,7.0,9.0,3.0,6.333333333333333,"[6, 5, 8, 7, 9, 3]"
17,Afghanistan,5.0,4.0,7.0,6.0,2.0,3.0,2.0,5.0,"[5, 4, 7, 6, 2, 3, 2]"
18,Afghanistan,5.166666666666667,6.0,5.0,7.0,6.0,4.0,3.0,5.166666666666667,"[6, 5, 7, 6, 4, 3]"
19,Afghanistan,7.0,8.0,7.0,9.0,8.0,6.0,4.0,7.0,"[8, 7, 9, 8, 6, 4]"
20,Afghanistan,3.0,2.0,6.0,4.0,1.0,3.0,2.0,3.0,"[3, 2, 6, 4, 1, 3, 2]"
1,Albania,8.0,7.0,9.0,8.0,6.0,3.0,4.0,8.0,"[8, 7, 9, 8, 6, 3, 4]"
2,Albania,7.166666666666667,8.0,7.0,9.0,8.0,6.0,5.0,7.166666666666667,"[8, 7, 9, 8, 6, 5]"
3,Albania,6.5,7.0,5.0,9.0,8.0,6.0,4.0,6.5,"[7, 5, 9, 8, 6, 4]"
4,Albania,7.0,7.0,6.0,9.0,8.0,7.0,5.0,7.0,"[7, 6, 9, 8, 7, 5]"
5,Albania,5.5,6.0,5.0,8.0,7.0,3.0,4.0,5.5,"[6, 5, 8, 7, 3, 4]"
6,Albania,5.5,6.0,5.0,8.0,7.0,3.0,4.0,5.5,"[6, 5, 8, 7, 3, 4]"
7,Albania,5.333333333333333,6.0,5.0,8.0,6.0,3.0,4.0,5.333333333333333,"[6, 5, 8, 6, 3, 4]"
8,Albania,6.166666666666667,7.0,6.0,7.0,8.0,5.0,4.0,6.166666666666667,"[7, 6, 7, 8, 5, 4]"
9,Albania,8.0,7.0,10.0,6.0,8.0,3.0,4.0,8.0,"[8, 7, 10, 6, 8, 3, 4]"
10,Albania,7.0,5.0,8.0,6.0,4.0,6.0,3.0,7.0,"[7, 5, 8, 6, 4, 6, 3]"
11,Albania,5.0,5.0,6.0,7.0,5.0,3.0,4.0,5.0,"[5, 6, 7, 5, 3, 4]"
12,Albania,6.0,5.0,9.0,7.0,2.0,5.0,3.0,6.0,"[6, 5, 9, 7, 2, 5, 3]"
13,Albania,6.0,6.0,5.0,7.0,8.0,6.0,4.0,6.0,"[6, 5, 7, 8, 6, 4]"
14,Albania,5.5,6.0,5.0,7.0,8.0,3.0,4.0,5.5,"[6, 5, 7, 8, 3, 4]"
15,Albania,6.0,5.0,9.0,7.0,8.0,3.0,2.0,6.0,"[6, 5, 9, 7, 8, 3, 2]"
16,Albania,6.0,5.0,8.0,7.0,9.0,3.0,4.0,6.0,"[6, 5, 8, 7, 9, 3, 4]"
17,Albania,5.0,4.0,7.0,6.0,2.0,3.0,5.0,5.0,"[5, 4, 7, 6, 2, 3, 5]"
18,Albania,5.166666666666667,6.0,5.0,7.0,6.0,3.0,4.0,5.166666666666667,"[6, 5, 7, 6, 3, 4]"
19,Albania,8.0,7.0,9.0,8.0,6.0,4.0,3.0,8.0,"[8, 7, 9, 8, 6, 4, 3]"
20,Albania,3.0,2.0,6.0,4.0,1.0,3.0,2.0,3.0,"[3, 2, 6, 4, 1, 3, 2]"
