country,llm_overall_happiness,llm_overall_explicit,llm_overall_calculated,llm_life_evaluation,llm_gdp,llm_social_support,llm_health,llm_freedom,llm_generosity,llm_corruption,real_life_evaluation,real_gdp,real_social_support,real_health,real_freedom,real_generosity,real_corruption,real_overall_happiness,diff_overall_happiness,abs_diff_overall_happiness,diff_life_evaluation,abs_diff_life_evaluation,diff_gdp,abs_diff_gdp,diff_social_support,abs_diff_social_support,diff_health,abs_diff_health,diff_freedom,abs_diff_freedom,diff_generosity,abs_diff_generosity,diff_corruption,abs_diff_corruption
Afghanistan,6.3,6.3,5.6,6.3,5.05,7.8,6.65,6.65,4.45,3.0,1.364,0.649,0.0,0.155,0.0,0.075,0.135,1.364,4.936,4.936,4.936,4.936,4.401,4.401,7.8,7.8,6.495,6.495,6.65,6.65,4.375,4.375,2.865,2.865
Albania,6.7,6.7,5.916666666666666,6.7,5.4,8.1,6.95,7.2,4.55,3.3,5.411,1.371,1.122,0.696,0.841,0.103,0.057,5.411,1.2890000000000006,1.2890000000000006,1.2890000000000006,1.2890000000000006,4.029,4.029,6.978,6.978,6.2540000000000004,6.2540000000000004,6.359,6.359,4.447,4.447,3.243,3.243
Algeria,6.6,6.6,5.8,6.6,5.25,8.15,6.85,6.9,4.45,3.2,5.571,1.315,1.363,0.782,0.522,0.057,0.219,5.571,1.029,1.029,1.029,1.029,3.935,3.935,6.787000000000001,6.787000000000001,6.068,6.068,6.378,6.378,4.393,4.393,2.9810000000000003,2.9810000000000003
Argentina,6.5,6.5,5.733333333333333,6.5,5.1,8.1,6.85,7.05,4.35,2.95,6.397,1.504,1.622,0.579,0.824,0.048,0.083,6.397,0.10299999999999976,0.10299999999999976,0.10299999999999976,0.10299999999999976,3.5959999999999996,3.5959999999999996,6.478,6.478,6.271,6.271,6.226,6.226,4.302,4.302,2.867,2.867
Armenia,6.7,6.7,5.841666666666667,6.7,5.55,8.0,6.8,6.9,4.45,3.35,5.494,1.391,1.349,0.828,0.786,0.032,0.158,5.494,1.2060000000000004,1.2060000000000004,1.2060000000000004,1.2060000000000004,4.159,4.159,6.651,6.651,5.9719999999999995,5.9719999999999995,6.114000000000001,6.114000000000001,4.418,4.418,3.192,3.192
Australia,6.75,6.75,6.108333333333333,6.75,5.9,8.2,6.9,7.25,4.85,3.55,6.974,1.767,1.647,0.841,0.857,0.164,0.285,6.974,-0.2240000000000002,0.2240000000000002,-0.2240000000000002,0.2240000000000002,4.133000000000001,4.133000000000001,6.552999999999999,6.552999999999999,6.059,6.059,6.393,6.393,4.686,4.686,3.2649999999999997,3.2649999999999997
Austria,6.7,6.7,6.175,6.7,5.95,8.2,6.9,7.15,4.55,4.3,6.81,1.791,1.592,0.814,0.856,0.179,0.28,6.81,-0.10999999999999943,0.10999999999999943,-0.10999999999999943,0.10999999999999943,4.159000000000001,4.159000000000001,6.607999999999999,6.607999999999999,6.086,6.086,6.2940000000000005,6.2940000000000005,4.3709999999999996,4.3709999999999996,4.02,4.02
Azerbaijan,6.65,6.65,5.983333333333333,6.65,5.6,8.15,6.85,7.0,4.8,3.5,4.875,1.428,1.03,0.707,0.785,0.076,0.179,4.875,1.7750000000000004,1.7750000000000004,1.7750000000000004,1.7750000000000004,4.172,4.172,7.12,7.12,6.143,6.143,6.215,6.215,4.724,4.724,3.321,3.321
Bahrain,6.65,6.65,5.758333333333334,6.65,5.5,7.9,6.55,6.55,3.75,4.3,6.03,1.752,1.391,0.609,0.907,0.148,0.167,6.03,0.6200000000000001,0.6200000000000001,0.6200000000000001,0.6200000000000001,3.748,3.748,6.509,6.509,5.941,5.941,5.643,5.643,3.602,3.602,4.133,4.133
Bangladesh,6.75,6.75,5.533333333333333,6.75,5.2,8.05,6.4,5.95,3.85,3.75,3.851,1.116,0.286,0.592,0.92,0.11,0.132,3.851,2.899,2.899,2.899,2.899,4.084,4.084,7.764000000000001,7.764000000000001,5.808000000000001,5.808000000000001,5.03,5.03,3.74,3.74,3.618,3.618
Belgium,6.6,6.6,6.0,6.6,5.75,8.15,7.05,6.45,4.45,4.15,6.91,1.783,1.646,0.852,0.895,0.119,0.306,6.91,-0.3100000000000005,0.3100000000000005,-0.3100000000000005,0.3100000000000005,3.967,3.967,6.5040000000000004,6.5040000000000004,6.1979999999999995,6.1979999999999995,5.555,5.555,4.331,4.331,3.8440000000000003,3.8440000000000003
Belize,6.55,6.55,5.608333333333333,6.55,5.1,8.0,6.8,6.3,4.4,3.05,6.711,1.256,1.54,0.525,1.018,0.072,0.082,6.711,-0.16100000000000048,0.16100000000000048,-0.16100000000000048,0.16100000000000048,3.8439999999999994,3.8439999999999994,6.46,6.46,6.2749999999999995,6.2749999999999995,5.282,5.282,4.328,4.328,2.968,2.968
Benin,6.25,6.25,5.5,6.25,5.1,7.85,6.4,6.05,4.25,3.35,4.357,0.855,0.228,0.357,0.679,0.092,0.238,4.357,1.8929999999999998,1.8929999999999998,1.8929999999999998,1.8929999999999998,4.244999999999999,4.244999999999999,7.622,7.622,6.043,6.043,5.3709999999999996,5.3709999999999996,4.158,4.158,3.112,3.112
Bolivia,6.3,6.3,5.466666666666667,6.3,5.05,8.2,6.6,5.75,4.05,3.15,5.868,1.173,1.356,0.346,0.817,0.067,0.052,5.868,0.4319999999999995,0.4319999999999995,0.4319999999999995,0.4319999999999995,3.877,3.877,6.843999999999999,6.843999999999999,6.254,6.254,4.933,4.933,3.9829999999999997,3.9829999999999997,3.098,3.098
