Prompt Tuning Log
================================================================================
Date: 2026-01-19 17:36:21
Hyperparameters: Temperature=0.0, CoT=False
Model: gpt-4o-mini
================================================================================

Loading countries...

Selected 10 random countries:
  1. Bulgaria
  2. North Macedonia
  3. Tanzania
  4. Pakistan
  5. Saudi Arabia
  6. Montenegro
  7. Uruguay
  8. Mauritius
  9. Spain
  10. Niger

Loading real World Happiness Report data...
Loaded real data for 147 countries

Loading personas...
Found 20 personas

================================================================================
Testing Prompt Variations
================================================================================

================================================================================
Testing: Current/Baseline
Description: Original detailed prompt with comprehensive instructions
================================================================================

Country 1/10: Bulgaria
  ✓ Persona 1: [7.0, 6.0, 9.0, 8.0, 8.0, 5.0, 3.0]
  ✓ Persona 2: [7.0, 5.0, 9.0, 8.0, 7.0, 6.0, 3.0]
  ✓ Persona 3: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 4: [7.0, 5.0, 9.0, 8.0, 7.0, 6.0, 3.0]
  ✓ Persona 5: [7.0, 5.0, 8.0, 6.0, 6.0, 4.0, 3.0]
  ✓ Persona 6: [6.0, 5.0, 8.0, 7.0, 8.0, 3.0, 4.0]
  ✓ Persona 7: [6.0, 5.0, 7.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 8: [7.0, 6.0, 6.0, 7.0, 8.0, 5.0, 3.0]
  ✓ Persona 9: [8.0, 5.0, 10.0, 7.0, 8.0, 4.0, 3.0]
  ✓ Persona 10: [6.0, 5.0, 7.0, 6.0, 8.0, 3.0, 5.0]
  ✓ Persona 11: [6.0, 5.0, 7.0, 6.0, 5.0, 4.0, 3.0]
  ✓ Persona 12: [6.0, 5.0, 9.0, 7.0, 6.0, 3.0, 4.0]
  ✓ Persona 13: [6.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 14: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 15: [7.0, 5.0, 9.0, 6.0, 8.0, 4.0, 3.0]
  ✓ Persona 16: [6.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 17: [5.0, 4.0, 7.0, 6.0, 5.0, 2.0, 3.0]
  ✓ Persona 18: [6.0, 5.0, 7.0, 6.0, 5.0, 3.0, 4.0]
  ✓ Persona 19: [7.0, 6.0, 8.0, 7.0, 8.0, 5.0, 3.0]
  ✓ Persona 20: [3.0, 4.0, 6.0, 5.0, 2.0, 3.0, 6.0]

Country 2/10: North Macedonia
  ✓ Persona 1: [7.0, 6.0, 9.0, 8.0, 8.0, 6.0, 3.0]
  ✓ Persona 2: [7.0, 5.0, 9.0, 8.0, 7.0, 6.0, 3.0]
  ✓ Persona 3: [7.0, 5.0, 8.0, 7.0, 6.0, 4.0, 3.0]
  ✓ Persona 4: [7.0, 5.0, 9.0, 7.0, 8.0, 6.0, 3.0]
  ✓ Persona 5: [7.0, 5.0, 8.0, 6.0, 4.0, 3.0, 2.0]
  ✓ Persona 6: [6.0, 5.0, 8.0, 7.0, 8.0, 3.0, 4.0]
