country,mean_happiness,std_happiness,min_happiness,max_happiness,response_count,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
Afghanistan,5.26,0.7876681107113445,3.0,6.4,20,5.26,3.8950000000000005,7.390000000000001,5.975,4.13,3.7649999999999997,1.8399999999999999
Albania,6.845000000000001,0.8178759396336215,4.0,7.6,20,6.845000000000001,5.45,8.2,6.76,7.01,3.715,2.6599999999999997
Algeria,6.55,0.8642002691871591,3.5,7.5,20,6.55,4.985,8.025,6.495,6.1450000000000005,3.5549999999999997,2.4050000000000002
Angola,6.495,0.8094670111284724,3.5,7.2,20,6.495,4.765,7.94,6.404999999999999,6.654999999999999,3.4799999999999995,2.055
Argentina,6.63,0.8590692637965812,3.5,7.5,20,6.63,4.095000000000001,8.290000000000001,6.640000000000001,6.915000000000001,3.595,2.1550000000000002
Armenia,6.8549999999999995,0.8107663690997289,4.0,7.6,20,6.8549999999999995,5.470000000000001,8.32,6.625,7.040000000000001,4.08,3.3049999999999997
Australia,7.345000000000001,0.8120636480110737,4.5,8.2,20,7.345000000000001,6.44,8.440000000000001,6.9799999999999995,7.609999999999999,4.545,6.475
Austria,7.385,0.8138763645923779,4.5,8.2,20,7.385,6.640000000000001,8.52,7.01,7.505,4.15,6.615
Azerbaijan,6.805,0.8217279611314584,4.0,7.6,20,6.805,5.6450000000000005,8.16,6.69,6.459999999999999,3.7600000000000002,2.5300000000000002
Bahrain,7.159999999999999,0.8305990228998015,4.2,8.0,20,7.159999999999999,6.534999999999999,8.485,6.904999999999999,7.005,4.615,4.835
Bangladesh,6.615,0.8767613850505673,3.5,7.5,20,6.615,5.17,7.995,6.44,6.39,3.995,2.2399999999999998
Belarus,6.36,0.8107176807586822,3.5,7.2,20,6.36,5.11,7.984999999999999,6.5200000000000005,4.64,3.345,2.1350000000000002
Belgium,7.31,0.8058339910010197,4.5,8.2,20,7.31,6.545,8.485,6.970000000000001,7.445,4.2,6.345000000000001
Belize,7.115,0.8412240455056206,4.0,7.8,20,7.115,5.779999999999999,8.375,6.87,7.404999999999999,4.485,3.2350000000000003
Benin,6.6049999999999995,0.8482024336330646,3.5,7.4,20,6.6049999999999995,4.955,7.945,6.505,6.76,4.205,2.6149999999999998
Bhutan,7.18,0.8538457891088693,4.0,7.8,20,7.18,5.99,8.465,6.925,7.209999999999999,4.82,6.965000000000001
Bolivia,6.82,0.911678613732297,3.5,7.6,20,6.82,5.41,8.275,6.640000000000001,7.045,3.7,2.495
Bosnia and Herzegovina,6.720000000000001,0.7736448253491222,4.0,7.4,20,6.720000000000001,5.1850000000000005,8.209999999999999,6.609999999999999,6.8549999999999995,3.8,2.2
Botswana,6.94,0.8203978495699189,4.0,7.6,20,6.94,5.835,8.24,6.734999999999999,7.290000000000001,4.265,4.5200000000000005
Brazil,6.975,0.9530422203051713,3.5,7.8,20,6.975,5.715,8.365,6.69,7.234999999999999,3.9299999999999997,2.63
Bulgaria,6.7700000000000005,0.9050152659369605,3.5,7.6,20,6.7700000000000005,5.585,8.190000000000001,6.67,7.095000000000001,3.5100000000000002,2.6149999999999998
Burkina Faso,6.15,0.8120798508832282,3.2,6.8,20,6.15,4.38,7.83,6.26,6.15,4.0,2.2399999999999998
Burundi,6.0649999999999995,0.8196758024076541,3.2,7.2,20,6.0649999999999995,4.029999999999999,7.675,6.26,6.0649999999999995,3.825,2.18
Cambodia,6.779999999999999,0.8930138208395915,3.5,7.6,20,6.779999999999999,5.575,8.055,6.56,6.8,3.9899999999999998,2.535
Cameroon,6.459999999999999,0.8081167190319398,3.5,7.2,20,6.459999999999999,4.7700000000000005,7.87,6.475,6.409999999999999,4.04,2.07
Canada,7.32,0.8056380276395518,4.5,8.2,20,7.32,6.265,8.54,6.965000000000001,7.62,4.42,6.1450000000000005
Central African Republic,5.7299999999999995,0.847969711474972,3.0,6.8,20,5.7299999999999995,3.745,7.445,5.86,5.955,3.8549999999999995,1.6949999999999998
Chad,6.1,0.8397994748121341,3.2,7.2,20,6.1,4.275,7.69,6.154999999999999,6.15,3.925,2.045
Chile,7.06,0.8531057810636443,4.0,7.8,20,7.06,5.99,8.325,6.795,7.295,3.7399999999999998,3.71
China,6.885,0.9560197091119649,3.5,7.6,20,6.885,6.1049999999999995,8.014999999999999,6.715000000000001,6.49,3.3649999999999998,3.78
Colombia,6.9799999999999995,0.8507581757962779,4.0,7.8,20,6.9799999999999995,5.615,8.35,6.775,7.13,3.8200000000000003,2.62
Comoros,6.495,0.7983370874907151,3.5,7.2,20,6.495,4.55,7.975,6.465000000000001,6.540000000000001,3.7700000000000005,2.535
Congo,6.1899999999999995,0.8466031195933919,3.2,7.2,20,6.1899999999999995,4.3149999999999995,7.784999999999999,6.265,6.37,3.9549999999999996,1.825
Costa Rica,7.284999999999999,0.8809534308738578,4.0,8.2,20,7.284999999999999,6.035,8.540000000000001,6.9799999999999995,7.49,4.115,4.4799999999999995
Croatia,7.029999999999999,0.8411145488044577,4.0,7.8,20,7.029999999999999,5.87,8.389999999999999,6.865,7.290000000000001,3.6700000000000004,3.195
Cuba,5.970000000000001,0.7827750903709592,3.2,6.8,20,5.970000000000001,3.2,8.040000000000001,6.484999999999999,4.4,3.6799999999999997,2.0300000000000002
Cyprus,7.109999999999999,0.8577203568333421,4.0,7.8,20,7.109999999999999,6.12,8.47,6.875,7.325,4.05,3.85
Czechia,7.125,0.8503095411610254,4.0,7.8,20,7.125,6.245,8.36,6.88,7.529999999999999,3.785,4.625
Côte d’Ivoire,6.840000000000001,0.9075125053509847,3.5,7.6,20,6.840000000000001,5.54,8.11,6.6,6.970000000000001,4.035,2.8850000000000002
DR Congo,6.005,0.8042485868645863,3.2,6.8,20,6.005,4.07,7.69,6.2,6.225,3.94,1.54
Denmark,7.6450000000000005,0.7052248614896928,5.2,8.4,20,7.6450000000000005,6.970000000000001,8.695,7.234999999999999,7.955,4.665,8.65
Djibouti,6.595000000000001,0.833808636382032,3.5,7.4,20,6.595000000000001,5.195,7.989999999999999,6.465000000000001,6.5,3.995,2.645
Dominican Republic,7.034999999999999,0.8311532887943621,4.0,7.8,20,7.034999999999999,5.76,8.35,6.87,7.279999999999999,3.905,2.8649999999999998
Ecuador,6.85,0.8249401892194811,4.0,7.6,20,6.85,5.415,8.26,6.695,6.95,3.835,2.545
Egypt,6.24,0.8524886169945398,3.2,7.2,20,6.24,4.035,7.9799999999999995,6.345000000000001,5.755,3.7350000000000003,2.075
El Salvador,6.970000000000001,0.8285053123737822,4.0,7.6,20,6.970000000000001,5.715,8.285,6.734999999999999,7.084999999999999,3.825,3.435
Estonia,7.159999999999999,0.8677860517310402,4.0,7.8,20,7.159999999999999,6.275,8.370000000000001,6.890000000000001,7.67,3.8850000000000002,7.44
Eswatini,6.635,0.8597888357644936,3.5,7.6,20,6.635,5.2,8.084999999999999,6.43,6.825,4.205,2.8600000000000003
Ethiopia,6.29,0.8735288384357708,3.2,7.4,20,6.29,4.42,7.790000000000001,6.3,6.1049999999999995,3.785,2.2600000000000002
Finland,7.5649999999999995,0.7161850687019238,5.0,8.2,20,7.5649999999999995,6.65,8.665000000000001,7.135,7.82,4.25,8.73
France,7.095000000000001,0.8840546541809207,4.0,7.8,20,7.095000000000001,6.135,8.370000000000001,6.834999999999999,7.17,3.9549999999999996,4.5649999999999995
Gabon,6.67,0.8868038411236043,3.5,7.5,20,6.67,5.39,8.03,6.575,6.715000000000001,3.815,2.43
Gambia,6.635,0.8480783230959645,3.5,7.4,20,6.635,4.9,8.1,6.625,6.975,4.37,2.825
Georgia,6.88,0.8082469659050612,4.0,7.6,20,6.88,5.545,8.245000000000001,6.6,6.965000000000001,3.655,3.425
Germany,7.245,0.8042485868645866,4.5,8.2,20,7.245,6.45,8.415,6.959999999999999,7.475,3.995,6.74
Ghana,6.659999999999999,0.8574134911096525,3.5,7.5,20,6.659999999999999,4.805,8.065000000000001,6.615,6.955,4.4350000000000005,2.4850000000000003
Greece,6.9,0.9170892168044217,3.5,7.6,20,6.9,5.4399999999999995,8.36,6.709999999999999,7.08,3.755,2.945
Guatemala,6.805,0.9023215671401827,3.5,7.6,20,6.805,5.42,8.165000000000001,6.675,6.875,4.0,2.165
Guinea,6.345000000000001,0.7823547452201087,3.5,7.2,20,6.345000000000001,4.535,7.840000000000001,6.305,6.265,3.715,2.075
Guyana,6.925,0.8213435719343611,4.0,7.6,20,6.925,5.875,8.17,6.765000000000001,7.209999999999999,4.0,3.0149999999999997
Haiti,5.4,0.8246211251235321,3.0,6.4,20,5.4,3.5200000000000005,7.565,6.13,5.14,3.7350000000000003,1.225
Honduras,6.595000000000001,0.839470384418527,3.5,7.4,20,6.595000000000001,5.0600000000000005,8.14,6.62,6.745,3.78,2.025
Hong Kong SAR of China,6.965000000000001,0.8222402005304905,4.0,7.6,20,6.965000000000001,6.12,8.135,6.715000000000001,6.39,4.029999999999999,4.695
Hungary,6.790000000000001,0.8071391975431044,4.0,7.6,20,6.790000000000001,5.3,8.205,6.6049999999999995,6.82,3.56,2.685
Iceland,7.695,0.7359025965295591,5.0,8.4,20,7.695,6.745,8.805,7.265000000000001,7.935,4.46,8.41
India,6.92,0.9327943305776977,3.5,7.8,20,6.92,5.88,8.145,6.56,6.970000000000001,4.07,2.855
Indonesia,6.984999999999999,0.8499380782398827,4.0,7.8,20,6.984999999999999,6.005,8.24,6.725,7.1450000000000005,4.12,3.0949999999999998
Iran,6.085,0.7995228840410151,3.5,6.8,20,6.085,3.75,7.88,6.335,4.415,3.62,1.72
Iraq,6.365,0.7727428931716994,3.5,7.2,20,6.365,4.925,7.915000000000001,6.29,6.2,3.875,1.9949999999999999
Ireland,7.32,0.8017087015277202,4.5,8.2,20,7.32,6.35,8.59,6.935,7.465000000000001,4.4399999999999995,6.220000000000001
Israel,6.63,0.6951713155005299,4.0,7.4,20,6.63,5.785,8.28,6.635,6.69,4.5200000000000005,3.17
Italy,7.07,0.8844266653125002,4.0,7.8,20,7.07,5.95,8.365,6.8549999999999995,7.08,3.85,3.2399999999999998
Jamaica,6.8950000000000005,0.8107663690997289,4.0,7.6,20,6.8950000000000005,5.455,8.275,6.715000000000001,7.195,4.3149999999999995,2.73
Japan,6.975,0.8558621384311843,4.2,7.8,20,6.975,6.1,8.175,6.74,7.040000000000001,3.505,6.39
Jordan,6.63,0.8724436341316507,3.5,7.5,20,6.63,4.96,8.190000000000001,6.495,6.435,4.17,2.83
