country,real_overall_happiness,real_gdp,real_social_support,real_health,real_freedom,real_generosity,real_corruption,real_life_evaluation,approach,llm_overall_happiness,llm_gdp,llm_social_support,llm_health,llm_freedom,llm_generosity,llm_corruption,llm_life_evaluation,diff_overall_happiness,diff_life_evaluation,diff_gdp,diff_social_support,diff_health,diff_freedom,diff_generosity,diff_corruption,region,income_level,global_north_south,world_123,east_west,continent,developed_country_type,developed_east_vs_west,economic_model
Afghanistan,1.364,0.649,0.0,0.155,0.0,0.075,0.135,1.364,few_shot,3.525,3.4200000000000004,6.459999999999999,5.3950000000000005,2.81,3.05,1.835,3.525,2.161,2.161,2.7710000000000004,6.459999999999999,5.24,2.81,2.975,1.7000000000000002,South Asia,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
Albania,5.411,1.371,1.122,0.696,0.841,0.103,0.057,5.411,few_shot,5.605,4.835,7.255,6.225,6.105,3.25,2.64,5.605,0.1939999999999999,0.1939999999999999,3.464,6.133,5.529,5.263999999999999,3.147,2.583,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Algeria,5.571,1.315,1.363,0.782,0.522,0.057,0.219,5.571,few_shot,5.295,4.59,7.135,6.04,5.165,3.2350000000000003,2.675,5.295,-0.2759999999999998,-0.2759999999999998,3.275,5.772,5.258,4.643,3.1780000000000004,2.456,Africa,Upper Middle Income,Global South,World 2,Other,Africa,Non-Developed,Non-Developed,Non-High Income
Argentina,6.397,1.504,1.622,0.579,0.824,0.048,0.083,6.397,few_shot,5.3100000000000005,3.9,7.385,6.315,6.125,3.12,2.44,5.3100000000000005,-1.0869999999999995,-1.0869999999999995,2.396,5.763,5.736,5.301,3.072,2.357,Latin America,Upper Middle Income,Global South,World 2,West,South America,Non-Developed,Non-Developed,Non-High Income
Armenia,5.494,1.391,1.349,0.828,0.786,0.032,0.158,5.494,few_shot,5.575,4.779999999999999,7.255,6.085,6.029999999999999,3.275,3.5200000000000005,5.575,0.0810000000000004,0.0810000000000004,3.389,5.906,5.257,5.244,3.243,3.3620000000000005,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Australia,6.974,1.767,1.647,0.841,0.857,0.164,0.285,6.974,few_shot,6.56,5.855,7.625,6.654999999999999,6.935,3.96,6.459999999999999,6.56,-0.4140000000000006,-0.4140000000000006,4.087999999999999,5.978,5.813999999999999,6.077999999999999,3.796,6.174999999999999,Oceania,High Income,Global North,World 1,West,Oceania,Anglo-Saxon,Developed West,Market Liberal
Austria,6.81,1.791,1.592,0.814,0.856,0.179,0.28,6.81,few_shot,6.65,6.15,7.705,6.695,6.904999999999999,3.855,6.275,6.65,-0.1599999999999992,-0.1599999999999992,4.359,6.113,5.881,6.049,3.676,5.995,Western Europe,High Income,Global North,World 1,West,Europe,Central Europe,Developed West,Social Market
Azerbaijan,4.875,1.428,1.03,0.707,0.785,0.076,0.179,4.875,few_shot,5.555,5.01,7.159999999999999,6.065,5.175,3.255,2.565,5.555,0.6799999999999997,0.6799999999999997,3.582,6.129999999999999,5.358,4.39,3.179,2.386,Other,Upper Middle Income,Global South,World 2,Other,Other,Non-Developed,Non-Developed,Non-High Income
Bahrain,6.03,1.752,1.391,0.609,0.907,0.148,0.167,6.03,few_shot,6.335,6.130000000000001,7.545,6.425,6.11,4.1,4.225,6.335,0.3049999999999997,0.3049999999999997,4.378000000000001,6.154,5.816,5.203,3.952,4.058,Middle East,Upper Middle Income,Global North,World 2,East,Asia,Non-Developed,Non-Developed,Non-High Income
Bangladesh,3.851,1.116,0.286,0.592,0.92,0.11,0.132,3.851,few_shot,5.3100000000000005,4.62,6.984999999999999,5.805,5.37,3.365,2.375,5.3100000000000005,1.4590000000000003,1.4590000000000003,3.504,6.699,5.213,4.45,3.255,2.243,South Asia,Low Income,Global South,World 3,East,Asia,Non-Developed,Non-Developed,Non-High Income
