persona_id,country,life_evaluation,gdp,social_support,health,freedom,generosity,corruption,overall_happiness_explicit,overall_happiness_calculated,overall_happiness,response_text
1,Afghanistan,4.2,4.8,7.2,6.5,3.2,3.5,1.8,4.2,4.5,4.2,"[4.2, 4.8, 7.2, 6.5, 3.2, 3.5, 1.8]"
2,Afghanistan,3.2,2.8,6.5,5.2,2.5,3.5,2.0,3.2,3.75,3.2,"[3.2, 2.8, 6.5, 5.2, 2.5, 3.5, 2.0]"
3,Afghanistan,3.8,3.2,6.5,6.0,2.5,3.0,2.0,3.8,3.8666666666666663,3.8,"[3.8, 3.2, 6.5, 6.0, 2.5, 3.0, 2.0]"
4,Afghanistan,3.2,2.8,7.5,5.5,3.0,4.0,2.0,3.2,4.133333333333334,3.2,"[3.2, 2.8, 7.5, 5.5, 3.0, 4.0, 2.0]"
5,Afghanistan,3.8,3.5,6.5,5.0,3.0,3.5,2.0,3.8,3.9166666666666665,3.8,"[3.8, 3.5, 6.5, 5.0, 3.0, 3.5, 2.0]"
6,Afghanistan,3.8,3.5,6.5,6.5,4.0,2.0,2.0,3.8,4.083333333333333,3.8,"[3.8, 3.5, 6.5, 6.5, 4.0, 2.0, 2.0]"
7,Afghanistan,3.2,3.5,6.0,3.0,3.0,2.5,2.0,3.2,3.3333333333333335,3.2,"[3.2, 3.5, 6.0, 3.0, 3.0, 2.5, 2.0]"
8,Afghanistan,4.8,6.5,6.0,6.8,3.5,3.0,2.0,4.8,4.633333333333334,4.8,"[4.8, 6.5, 6.0, 6.8, 3.5, 3.0, 2.0]"
9,Afghanistan,3.8,3.2,8.5,4.5,3.0,4.0,1.5,3.8,4.116666666666666,3.8,"[3.8, 3.2, 8.5, 4.5, 3.0, 4.0, 1.5]"
10,Afghanistan,3.2,3.0,5.5,5.5,2.5,2.0,1.5,3.2,3.3333333333333335,3.2,"[3.2, 3.0, 5.5, 5.5, 2.5, 2.0, 1.5]"
11,Afghanistan,3.8,3.5,6.5,5.5,2.5,4.0,2.0,3.8,4.0,3.8,"[3.8, 3.5, 6.5, 5.5, 2.5, 4.0, 2.0]"
12,Afghanistan,3.2,2.8,6.5,5.5,2.0,3.0,1.5,3.2,3.5500000000000003,3.2,"[3.2, 2.8, 6.5, 5.5, 2.0, 3.0, 1.5]"
13,Afghanistan,3.8,3.5,6.5,5.0,3.0,2.5,1.5,3.8,3.6666666666666665,3.8,"[3.8, 3.5, 6.5, 5.0, 3.0, 2.5, 1.5]"
14,Afghanistan,3.8,3.2,5.8,6.2,2.8,2.5,2.0,3.8,3.75,3.8,"[3.8, 3.2, 5.8, 6.2, 2.8, 2.5, 2.0]"
15,Afghanistan,3.2,3.0,7.0,4.5,3.0,3.5,2.0,3.2,3.8333333333333335,3.2,"[3.2, 3.0, 7.0, 4.5, 3.0, 3.5, 2.0]"
16,Afghanistan,3.2,2.8,5.8,5.2,2.5,4.0,2.0,3.2,3.716666666666667,3.2,"[3.2, 2.8, 5.8, 5.2, 2.5, 4.0, 2.0]"
17,Afghanistan,3.2,2.8,6.2,5.4,2.4,2.0,1.8,3.2,3.4333333333333336,3.2,"[3.2, 2.8, 6.2, 5.4, 2.4, 2.0, 1.8]"
18,Afghanistan,3.2,3.8,6.2,4.8,2.8,3.5,1.8,3.2,3.8166666666666664,3.2,"[3.2, 3.8, 6.2, 4.8, 2.8, 3.5, 1.8]"
19,Afghanistan,3.8,4.2,6.5,6.8,2.5,3.5,1.8,3.8,4.216666666666667,3.8,"[3.8, 4.2, 6.5, 6.8, 2.5, 3.5, 1.8]"
20,Afghanistan,2.3,2.0,5.5,4.5,2.5,1.5,1.5,2.3,2.9166666666666665,2.3,"[2.3, 2.0, 5.5, 4.5, 2.5, 1.5, 1.5]"
1,Afghanistan,4.2,4.8,7.2,6.5,3.2,3.5,1.8,4.2,4.5,4.2,"[4.2, 4.8, 7.2, 6.5, 3.2, 3.5, 1.8]"
2,Afghanistan,3.2,2.8,6.5,5.2,2.5,3.5,2.0,3.2,3.75,3.2,"[3.2, 2.8, 6.5, 5.2, 2.5, 3.5, 2.0]"
3,Afghanistan,3.8,3.2,6.5,6.0,2.5,3.0,2.0,3.8,3.8666666666666663,3.8,"[3.8, 3.2, 6.5, 6.0, 2.5, 3.0, 2.0]"
4,Afghanistan,3.2,2.8,7.5,5.5,3.0,4.0,2.0,3.2,4.133333333333334,3.2,"[3.2, 2.8, 7.5, 5.5, 3.0, 4.0, 2.0]"
5,Afghanistan,3.8,3.5,6.5,5.0,3.0,3.5,2.0,3.8,3.9166666666666665,3.8,"[3.8, 3.5, 6.5, 5.0, 3.0, 3.5, 2.0]"
6,Afghanistan,3.8,3.5,6.5,6.5,4.0,2.0,2.0,3.8,4.083333333333333,3.8,"[3.8, 3.5, 6.5, 6.5, 4.0, 2.0, 2.0]"
7,Afghanistan,3.2,3.5,6.0,3.0,3.0,2.5,2.0,3.2,3.3333333333333335,3.2,"[3.2, 3.5, 6.0, 3.0, 3.0, 2.5, 2.0]"
8,Afghanistan,4.8,6.5,6.0,6.8,3.5,3.0,2.0,4.8,4.633333333333334,4.8,"[4.8, 6.5, 6.0, 6.8, 3.5, 3.0, 2.0]"
9,Afghanistan,3.8,3.2,8.5,4.5,3.0,4.0,1.5,3.8,4.116666666666666,3.8,"[3.8, 3.2, 8.5, 4.5, 3.0, 4.0, 1.5]"
10,Afghanistan,3.2,3.0,5.5,5.5,2.5,2.0,1.5,3.2,3.3333333333333335,3.2,"[3.2, 3.0, 5.5, 5.5, 2.5, 2.0, 1.5]"
11,Afghanistan,3.8,3.5,6.5,5.5,2.5,4.0,2.0,3.8,4.0,3.8,"[3.8, 3.5, 6.5, 5.5, 2.5, 4.0, 2.0]"
12,Afghanistan,3.2,2.8,6.5,5.5,2.0,3.0,1.5,3.2,3.5500000000000003,3.2,"[3.2, 2.8, 6.5, 5.5, 2.0, 3.0, 1.5]"
13,Afghanistan,3.8,3.5,6.5,5.0,3.0,2.5,1.5,3.8,3.6666666666666665,3.8,"[3.8, 3.5, 6.5, 5.0, 3.0, 2.5, 1.5]"
14,Afghanistan,3.8,3.2,5.8,6.2,2.8,2.5,2.0,3.8,3.75,3.8,"[3.8, 3.2, 5.8, 6.2, 2.8, 2.5, 2.0]"
15,Afghanistan,3.2,3.0,7.0,4.5,3.0,3.5,2.0,3.2,3.8333333333333335,3.2,"[3.2, 3.0, 7.0, 4.5, 3.0, 3.5, 2.0]"
16,Afghanistan,3.2,2.8,5.8,5.2,2.5,4.0,2.0,3.2,3.716666666666667,3.2,"[3.2, 2.8, 5.8, 5.2, 2.5, 4.0, 2.0]"
17,Afghanistan,3.2,2.8,6.2,5.4,2.4,2.0,1.8,3.2,3.4333333333333336,3.2,"[3.2, 2.8, 6.2, 5.4, 2.4, 2.0, 1.8]"
