persona_id,country,life_evaluation,gdp,social_support,health,freedom,generosity,corruption,overall_happiness_explicit,overall_happiness_calculated,overall_happiness,response_text
1,Afghanistan,4.8,,,,,,,4.8,4.8,4.8,[4.8]
2,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
3,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
4,Afghanistan,4.0,,,,,,,4.0,4.0,4.0,[4.0]
5,Afghanistan,4.0,,,,,,,4.0,4.0,4.0,[4.0]
6,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
7,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
8,Afghanistan,5.0,,,,,,,5.0,5.0,5.0,[5.0]
9,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
10,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
11,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
12,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
13,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
14,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
15,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
16,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
17,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
18,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
19,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
20,Afghanistan,2.8,,,,,,,2.8,2.8,2.8,[2.8]
1,Albania,6.5,,,,,,,6.5,6.5,6.5,[6.5]
2,Albania,6.0,,,,,,,6.0,6.0,6.0,[6]
3,Albania,6.0,,,,,,,6.0,6.0,6.0,[6.0]
4,Albania,5.5,,,,,,,5.5,5.5,5.5,[5.5]
5,Albania,5.8,,,,,,,5.8,5.8,5.8,[5.8]
6,Albania,5.0,,,,,,,5.0,5.0,5.0,[5.0]
