country,mean_happiness,std_happiness,min_happiness,max_happiness,response_count,avg_life_evaluation,avg_gdp,avg_social_support,avg_health,avg_freedom,avg_generosity,avg_corruption
Afghanistan,3.9899999999999998,0.5097987218914001,2.8,5.0,20,3.9899999999999998,,,,,,
Albania,5.57,0.7384906370785155,3.5,6.8,20,5.57,,,,,,
Algeria,5.255,0.7111702734892235,3.5,6.5,20,5.255,,,,,,
Angola,4.955,0.627840911797181,3.2,6.2,20,4.955,,,,,,
Argentina,5.115,0.6876925567661605,3.5,6.5,20,5.115,,,,,,
Armenia,5.4399999999999995,0.680092872914776,3.5,6.5,20,5.4399999999999995,,,,,,
Australia,6.6,0.6890114963520297,4.2,7.5,20,6.6,,,,,,
Austria,6.67,0.7814291899765249,4.0,7.6,20,6.67,,,,,,
Azerbaijan,5.470000000000001,0.6944138004934731,3.5,6.5,20,5.470000000000001,,,,,,
Bahrain,6.425,0.8207025231951875,3.5,7.2,20,6.425,,,,,,
Bangladesh,5.1899999999999995,0.6648308055437865,3.5,6.5,20,5.1899999999999995,,,,,,
Belarus,4.985,0.5640781954005275,3.2,6.2,20,4.985,,,,,,
Belgium,6.595000000000001,0.7287155245975435,4.2,7.5,20,6.595000000000001,,,,,,
Belize,5.7299999999999995,0.742045536976922,3.5,6.8,20,5.7299999999999995,,,,,,
Benin,5.1,0.6249210476447993,3.5,6.5,20,5.1,,,,,,
Bhutan,6.029999999999999,0.7262738355541432,3.5,6.8,20,6.029999999999999,,,,,,
Bolivia,5.475,0.7425950231593613,3.5,6.5,20,5.475,,,,,,
Bosnia and Herzegovina,5.32,0.6887058802374817,3.5,6.5,20,5.32,,,,,,
Botswana,5.8149999999999995,0.7176533395654715,3.5,6.8,20,5.8149999999999995,,,,,,
Brazil,5.93,0.7821024296895621,3.5,6.8,20,5.93,,,,,,
Bulgaria,5.66,0.7653000787444855,3.5,6.8,20,5.66,,,,,,
Burkina Faso,4.46,0.5082477638649128,3.2,5.8,20,4.46,,,,,,
Burundi,4.425,0.6146244039205868,3.0,6.2,20,4.425,,,,,,
Cambodia,5.46,0.7429670248402688,3.5,6.5,20,5.46,,,,,,
Cameroon,5.005,0.6219451659701878,3.5,6.5,20,5.005,,,,,,
Canada,6.540000000000001,0.7264912068870555,4.0,7.4,20,6.540000000000001,,,,,,
Central African Republic,4.1049999999999995,0.5423875095596467,3.0,5.5,20,4.1049999999999995,,,,,,
Chad,4.375,0.5580746978864503,3.0,5.8,20,4.375,,,,,,
Chile,6.025,0.7992595257322143,3.5,6.8,20,6.025,,,,,,
China,5.875,0.7792540292518628,3.8,6.8,20,5.875,,,,,,
Colombia,5.8149999999999995,0.8054256801938894,3.5,6.8,20,5.8149999999999995,,,,,,
Comoros,4.805,0.5942487517423729,3.2,6.2,20,4.805,,,,,,
Congo,4.705,0.6336818062552745,3.0,6.2,20,4.705,,,,,,
Costa Rica,6.33,0.8157011836773506,3.5,7.2,20,6.33,,,,,,
Croatia,6.085,0.7631479128203819,3.5,7.2,20,6.085,,,,,,
Cuba,4.32,0.4948152233542919,3.0,5.5,20,4.32,,,,,,
Cyprus,6.409999999999999,0.8051805943225929,3.5,7.2,20,6.409999999999999,,,,,,
Czechia,6.484999999999999,0.7102816342831905,4.0,7.2,20,6.484999999999999,,,,,,
Côte d’Ivoire,5.525,0.7376170736692721,3.5,6.8,20,5.525,,,,,,
DR Congo,4.535,0.6217758946420283,3.0,6.2,20,4.535,,,,,,
Denmark,7.1049999999999995,0.7680974444759765,4.5,7.8,20,7.1049999999999995,,,,,,
Djibouti,5.055,0.6809242944240145,3.5,6.2,20,5.055,,,,,,
Dominican Republic,5.85,0.7790007094112034,3.5,6.8,20,5.85,,,,,,
Ecuador,5.36,0.7570023986612903,3.5,6.5,20,5.36,,,,,,
Egypt,4.75,0.6452253788202106,3.0,6.0,20,4.75,,,,,,
El Salvador,5.7299999999999995,0.7441703257213436,3.5,6.8,20,5.7299999999999995,,,,,,
Estonia,6.435,0.6853927034151565,4.0,7.2,20,6.435,,,,,,
Eswatini,5.0649999999999995,0.6251526129463784,3.5,6.5,20,5.0649999999999995,,,,,,
Ethiopia,4.82,0.6195074444138752,3.2,6.2,20,4.82,,,,,,
Finland,6.865,0.7741038961956357,4.2,7.6,20,6.865,,,,,,
France,6.470000000000001,0.732766926396827,4.0,7.2,20,6.470000000000001,,,,,,
Gabon,5.305,0.6676549691979663,3.5,6.5,20,5.305,,,,,,
Gambia,5.045,0.6533114031407107,3.5,6.5,20,5.045,,,,,,
Georgia,5.6,0.7786628214276605,3.5,6.8,20,5.6,,,,,,
Germany,6.540000000000001,0.7666742943937868,4.0,7.5,20,6.540000000000001,,,,,,
Ghana,5.15,0.6427735952392898,3.5,6.5,20,5.15,,,,,,
Greece,5.82,0.7695521595810056,3.5,6.8,20,5.82,,,,,,
Guatemala,5.45,0.7500877141690618,3.5,6.5,20,5.45,,,,,,
Guinea,4.819999999999999,0.59080676331517,3.2,6.2,20,4.819999999999999,,,,,,
Guyana,5.625,0.764938938051508,3.5,6.8,20,5.625,,,,,,
Haiti,3.7600000000000002,0.47284135539144734,2.5,5.0,20,3.7600000000000002,,,,,,
Honduras,5.15,0.7059894139656621,3.2,6.5,20,5.15,,,,,,
Hong Kong SAR of China,6.125,0.7566372975210776,3.5,6.8,20,6.125,,,,,,
Hungary,5.58,0.7736448253491224,3.5,6.8,20,5.58,,,,,,
Iceland,6.915000000000001,0.7624579367172708,4.2,7.6,20,6.915000000000001,,,,,,
India,5.755,0.8075140539757937,3.5,6.8,20,5.755,,,,,,
Indonesia,5.89,0.783312803015769,3.5,6.8,20,5.89,,,,,,
Iran,4.63,0.5181952487137194,3.2,5.8,20,4.63,,,,,,
Iraq,5.1049999999999995,0.6236353522945753,3.5,6.5,20,5.1049999999999995,,,,,,
Ireland,6.455,0.7287155245975441,4.0,7.2,20,6.455,,,,,,
Israel,5.45,0.7111887749987413,3.5,6.5,20,5.45,,,,,,
Italy,6.220000000000001,0.7797435475847176,3.5,7.2,20,6.220000000000001,,,,,,
Jamaica,5.54,0.739416555200966,3.5,6.5,20,5.54,,,,,,
Japan,6.43,0.7034501441205043,4.0,7.2,20,6.43,,,,,,
Jordan,5.29,0.74048348359277,3.5,6.5,20,5.29,,,,,,
Kazakhstan,5.84,0.7755473449187522,3.5,6.8,20,5.84,,,,,,
Kenya,5.375,0.7180932354066858,3.5,6.5,20,5.375,,,,,,
Kosovo,5.54,0.7250408336958102,3.5,6.5,20,5.54,,,,,,
Kuwait,6.76,0.7755473449187525,4.0,7.5,20,6.76,,,,,,
Kyrgyzstan,5.245,0.6916608539176593,3.5,6.5,20,5.245,,,,,,
Lao PDR,5.11,0.6389959228928493,3.5,6.5,20,5.11,,,,,,
Latvia,5.985,0.7645259969418959,3.5,6.8,20,5.985,,,,,,
Lebanon,4.41,0.5495452665613632,3.0,5.8,20,4.41,,,,,,
Lesotho,5.015,0.6547598997463034,3.2,6.2,20,5.015,,,,,,
Liberia,4.785,0.6217758946420283,3.2,6.2,20,4.785,,,,,,
Libya,4.67,0.5750057207953398,3.2,6.2,20,4.67,,,,,,
Lithuania,6.345000000000001,0.7528716952268056,3.8,7.3,20,6.345000000000001,,,,,,
Luxembourg,7.045,0.7465534845295131,4.5,7.8,20,7.045,,,,,,
