persona_id,country,life_evaluation,gdp,social_support,health,freedom,generosity,corruption,overall_happiness_explicit,overall_happiness_calculated,overall_happiness,response_text
20,Afghanistan,2.8,,,,,,,2.8,2.8,2.8,[2.8]
6,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
15,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
5,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
10,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
14,Afghanistan,4.2,,,,,,,4.2,4.2,4.2,[4.2]
16,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
19,Afghanistan,4.2,,,,,,,4.2,4.2,4.2,[4.2]
7,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
13,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
18,Afghanistan,4.0,,,,,,,4.0,4.0,4.0,[4.0]
11,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
2,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
12,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
3,Afghanistan,3.5,,,,,,,3.5,3.5,3.5,[3.5]
17,Afghanistan,3.0,,,,,,,3.0,3.0,3.0,[3.0]
8,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
9,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
1,Afghanistan,4.5,,,,,,,4.5,4.5,4.5,[4.5]
4,Afghanistan,3.8,,,,,,,3.8,3.8,3.8,[3.8]
20,Albania,3.5,,,,,,,3.5,3.5,3.5,[3.5]
6,Albania,5.0,,,,,,,5.0,5.0,5.0,[5.0]
15,Albania,5.0,,,,,,,5.0,5.0,5.0,[5.0]
5,Albania,5.8,,,,,,,5.8,5.8,5.8,[5.8]
10,Albania,5.2,,,,,,,5.2,5.2,5.2,[5.2]
14,Albania,5.8,,,,,,,5.8,5.8,5.8,[5.8]
16,Albania,5.2,,,,,,,5.2,5.2,5.2,[5.2]
19,Albania,6.8,,,,,,,6.8,6.8,6.8,[6.8]
7,Albania,5.0,,,,,,,5.0,5.0,5.0,[5]
13,Albania,5.2,,,,,,,5.2,5.2,5.2,[5.2]
18,Albania,5.2,,,,,,,5.2,5.2,5.2,[5.2]
11,Albania,5.2,,,,,,,5.2,5.2,5.2,[5.2]
2,Albania,6.0,,,,,,,6.0,6.0,6.0,[6.0]
12,Albania,6.0,,,,,,,6.0,6.0,6.0,[6.0]
3,Albania,5.8,,,,,,,5.8,5.8,5.8,[5.8]
17,Albania,4.8,,,,,,,4.8,4.8,4.8,[4.8]
8,Albania,6.5,,,,,,,6.5,6.5,6.5,[6.5]
9,Albania,6.0,,,,,,,6.0,6.0,6.0,[6]
1,Albania,6.2,,,,,,,6.2,6.2,6.2,[6.2]
4,Albania,5.2,,,,,,,5.2,5.2,5.2,[5.2]
20,Algeria,3.5,,,,,,,3.5,3.5,3.5,[3.5]
6,Algeria,4.8,,,,,,,4.8,4.8,4.8,[4.8]
15,Algeria,5.0,,,,,,,5.0,5.0,5.0,[5.0]
5,Algeria,5.5,,,,,,,5.5,5.5,5.5,[5.5]
10,Algeria,5.0,,,,,,,5.0,5.0,5.0,[5.0]
14,Algeria,5.2,,,,,,,5.2,5.2,5.2,[5.2]
16,Algeria,4.8,,,,,,,4.8,4.8,4.8,[4.8]
19,Algeria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
7,Algeria,4.8,,,,,,,4.8,4.8,4.8,[4.8]
13,Algeria,5.0,,,,,,,5.0,5.0,5.0,[5.0]
18,Algeria,5.0,,,,,,,5.0,5.0,5.0,[5.0]
11,Algeria,5.0,,,,,,,5.0,5.0,5.0,[5.0]
2,Algeria,5.5,,,,,,,5.5,5.5,5.5,[5.5]
12,Algeria,5.8,,,,,,,5.8,5.8,5.8,[5.8]
3,Algeria,5.0,,,,,,,5.0,5.0,5.0,[5.0]
17,Algeria,4.8,,,,,,,4.8,4.8,4.8,[4.8]
8,Algeria,6.2,,,,,,,6.2,6.2,6.2,[6.2]
9,Algeria,5.5,,,,,,,5.5,5.5,5.5,[5.5]
1,Algeria,5.8,,,,,,,5.8,5.8,5.8,[5.8]
4,Algeria,5.5,,,,,,,5.5,5.5,5.5,[5.5]
20,Angola,3.5,,,,,,,3.5,3.5,3.5,[3.5]
6,Angola,4.5,,,,,,,4.5,4.5,4.5,[4.5]
15,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
5,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
10,Angola,4.6,,,,,,,4.6,4.6,4.6,[4.6]
14,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
16,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
19,Angola,6.2,,,,,,,6.2,6.2,6.2,[6.2]
7,Angola,4.5,,,,,,,4.5,4.5,4.5,[4.5]
13,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
18,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
11,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
2,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
12,Angola,5.0,,,,,,,5.0,5.0,5.0,[5.0]
3,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
17,Angola,4.5,,,,,,,4.5,4.5,4.5,[4.5]
8,Angola,6.3,,,,,,,6.3,6.3,6.3,[6.3]
9,Angola,5.0,,,,,,,5.0,5.0,5.0,[5.0]
1,Angola,5.5,,,,,,,5.5,5.5,5.5,[5.5]
4,Angola,4.8,,,,,,,4.8,4.8,4.8,[4.8]
20,Argentina,3.5,,,,,,,3.5,3.5,3.5,[3.5]
6,Argentina,4.5,,,,,,,4.5,4.5,4.5,[4.5]
15,Argentina,4.8,,,,,,,4.8,4.8,4.8,[4.8]
5,Argentina,5.0,,,,,,,5.0,5.0,5.0,[5.0]
10,Argentina,4.8,,,,,,,4.8,4.8,4.8,[4.8]
14,Argentina,5.0,,,,,,,5.0,5.0,5.0,[5.0]
16,Argentina,4.5,,,,,,,4.5,4.5,4.5,[4.5]
19,Argentina,6.2,,,,,,,6.2,6.2,6.2,[6.2]
7,Argentina,4.5,,,,,,,4.5,4.5,4.5,[4.5]
13,Argentina,4.5,,,,,,,4.5,4.5,4.5,[4.5]
18,Argentina,4.8,,,,,,,4.8,4.8,4.8,[4.8]
11,Argentina,4.8,,,,,,,4.8,4.8,4.8,[4.8]
2,Argentina,4.8,,,,,,,4.8,4.8,4.8,[4.8]
12,Argentina,5.0,,,,,,,5.0,5.0,5.0,[5.0]
3,Argentina,5.0,,,,,,,5.0,5.0,5.0,[5.0]
17,Argentina,4.8,,,,,,,4.8,4.8,4.8,[4.8]
8,Argentina,6.0,,,,,,,6.0,6.0,6.0,[6.0]
9,Argentina,5.0,,,,,,,5.0,5.0,5.0,[5]
1,Argentina,6.0,,,,,,,6.0,6.0,6.0,[6]
4,Argentina,5.0,,,,,,,5.0,5.0,5.0,[5]
20,Armenia,3.5,,,,,,,3.5,3.5,3.5,[3.5]
6,Armenia,5.2,,,,,,,5.2,5.2,5.2,[5.2]
15,Armenia,5.0,,,,,,,5.0,5.0,5.0,[5.0]
5,Armenia,5.2,,,,,,,5.2,5.2,5.2,[5.2]
10,Armenia,5.2,,,,,,,5.2,5.2,5.2,[5.2]
14,Armenia,5.6,,,,,,,5.6,5.6,5.6,[5.6]
16,Armenia,4.8,,,,,,,4.8,4.8,4.8,[4.8]
19,Armenia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
7,Armenia,4.8,,,,,,,4.8,4.8,4.8,[4.8]
13,Armenia,5.0,,,,,,,5.0,5.0,5.0,[5.0]
18,Armenia,5.2,,,,,,,5.2,5.2,5.2,[5.2]
11,Armenia,5.0,,,,,,,5.0,5.0,5.0,[5.0]
2,Armenia,5.5,,,,,,,5.5,5.5,5.5,[5.5]
12,Armenia,6.2,,,,,,,6.2,6.2,6.2,[6.2]
3,Armenia,5.5,,,,,,,5.5,5.5,5.5,[5.5]
17,Armenia,4.8,,,,,,,4.8,4.8,4.8,[4.8]
8,Armenia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
9,Armenia,5.8,,,,,,,5.8,5.8,5.8,[5.8]
1,Armenia,6.2,,,,,,,6.2,6.2,6.2,[6.2]
4,Armenia,5.0,,,,,,,5.0,5.0,5.0,[5.0]
20,Australia,4.0,,,,,,,4.0,4.0,4.0,[4.0]
6,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
15,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
5,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
10,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
14,Australia,6.8,,,,,,,6.8,6.8,6.8,[6.8]
16,Australia,6.2,,,,,,,6.2,6.2,6.2,[6.2]
19,Australia,7.4,,,,,,,7.4,7.4,7.4,[7.4]
7,Australia,6.2,,,,,,,6.2,6.2,6.2,[6.2]
13,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
18,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
11,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
2,Australia,7.2,,,,,,,7.2,7.2,7.2,[7.2]
12,Australia,7.2,,,,,,,7.2,7.2,7.2,[7.2]
3,Australia,6.8,,,,,,,6.8,6.8,6.8,[6.8]
17,Australia,6.5,,,,,,,6.5,6.5,6.5,[6.5]
8,Australia,7.2,,,,,,,7.2,7.2,7.2,[7.2]
9,Australia,7.5,,,,,,,7.5,7.5,7.5,[7.5]
1,Australia,7.2,,,,,,,7.2,7.2,7.2,[7.2]
4,Australia,7.0,,,,,,,7.0,7.0,7.0,[7.0]
20,Austria,4.0,,,,,,,4.0,4.0,4.0,[4.0]
6,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
15,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
5,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
10,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
14,Austria,6.8,,,,,,,6.8,6.8,6.8,[6.8]
16,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
19,Austria,7.6,,,,,,,7.6,7.6,7.6,[7.6]
7,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
13,Austria,6.8,,,,,,,6.8,6.8,6.8,[6.8]
18,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
11,Austria,6.2,,,,,,,6.2,6.2,6.2,[6.2]
2,Austria,7.4,,,,,,,7.4,7.4,7.4,[7.4]
12,Austria,7.2,,,,,,,7.2,7.2,7.2,[7.2]
3,Austria,7.2,,,,,,,7.2,7.2,7.2,[7.2]
17,Austria,6.5,,,,,,,6.5,6.5,6.5,[6.5]
